epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,70.1093,0.54843,0.98889,1,0.04853,0.000473319,0.000473319,0.000473319
2,133.027,0.14302,0.98333,1,0.06057,0.000902644,0.000902644,0.000902644
3,194.973,0.13339,0.97778,1,0.04622,0.00128481,0.00128481,0.00128481
4,257.759,0.14969,0.98333,1,0.02211,0.00121679,0.00121679,0.00121679
5,321.293,0.1232,0.98889,1,0.01949,0.00114606,0.00114606,0.00114606
6,385.945,0.10754,1,1,0.00891,0.00107532,0.00107532,0.00107532
7,466.262,0.07609,0.99444,1,0.01078,0.00100459,0.00100459,0.00100459
8,549.139,0.07305,0.99444,1,0.00863,0.000933851,0.000933851,0.000933851
9,642.165,0.05822,1,1,0.00275,0.000863116,0.000863116,0.000863116
10,714.405,0.03545,1,1,0.00651,0.00079238,0.00079238,0.00079238
11,787.589,0.04207,1,1,0.00313,0.000721645,0.000721645,0.000721645
